comune,year,DC_VV,bui_labf,laurea_p,laureaf_p,h_wo_water_wc_p,illiterate_p,young_p,Mafia1987
trecastagni,1958,0.563858687877655,0.122947126626968,0.00767146563157439,9.58933203946799e-4,0.00814606621861458,0.150443941354752,0.417410761117935,0
trecastagni,1963,0.53857010602951,0.155421480536461,0.00979473069310188,0.00183558836579323,0.00586302764713764,0.115980572998524,0.414025336503983,0
trecastagni,1968,0.559672772884369,0.170209318399429,0.0140642216429114,0.00389739219099283,0.00219863536767662,0.101408362388611,0.416109144687653,0
trecastagni,1972,0.394360095262527,0.181260213255882,0.0171339996159077,0.00538714742287993,0,0.088016539812088,0.416376829147339,0
trecastagni,1976,0.410246968269348,0.189972966909409,0.0191663317382336,0.00639783963561058,0,0.0694225430488586,0.412446469068527,0
trecastagni,1979,0.408399701118469,0.196507543325424,0.020690580829978,0.0071558584459126,0,0.055477038025856,0.409498691558838,0
trecastagni,1983,0.336931645870209,0.191867083311081,0.0206125248223543,0.00811172183603048,1.14942529762629e-4,0.0383520759642124,0.399331420660019,0
trecastagni,1987,0.337136328220367,0.173873379826546,0.0184240788221359,0.00901275780051947,3.44827596563846e-4,0.02269615419209,0.38292720913887,0
trecastagni,1992,0.329912394285202,0.148397982120514,0.0229048114269972,0.0131235821172595,5.17241365741938e-4,0.00818715710192919,0.361665636301041,0
tremestierietneo,1946,0.7643923163414,0.0880105942487717,0.00744971912354231,3.50049929693341e-4,0.0235124342143536,0.199592024087906,0.431629955768585,0
tremestierietneo,1948,0.793928265571594,0.104161560535431,0.00724073732271791,4.07951767556369e-4,0.0206388812512159,0.185267329216003,0.431961625814438,0
tremestierietneo,1953,0.579482436180115,0.14453898370266,0.00671828165650368,5.52706362213939e-4,0.0134549979120493,0.149455606937408,0.432790875434875,0
tremestierietneo,1958,0.646141827106476,0.184916406869888,0.00619582645595074,6.9746095687151e-4,0.00627111457288265,0.113643899559975,0.433620095252991,0
tremestierietneo,1963,0.613251149654388,0.195296615362167,0.0121564064174891,0.00315946480259299,0.00156862754374743,0.0802446976304054,0.438155591487885,0
tremestierietneo,1968,0.644035518169403,0.160681009292603,0.0278415400534868,0.00909734237939119,5.88235328905284e-4,0.0504642874002457,0.448250442743301,0
tremestierietneo,1972,0.425167798995972,0.133694648742676,0.0397247299551964,0.0137651655822992,0,0.0304665882140398,0.452878683805466,0
tremestierietneo,1976,0.463207542896271,0.108826711773872,0.0496131628751755,0.0181855522096157,0,0.0219487808644772,0.447163999080658,0
tremestierietneo,1979,0.4463791847229,0.0901757553219795,0.0570294857025146,0.0215008426457644,0,0.0155604248866439,0.442878007888794,0
tremestierietneo,1983,0.347985833883286,0.0783600956201553,0.0643738135695457,0.0252701155841351,8.38574414956383e-5,0.0109819173812866,0.428853929042816,0
tremestierietneo,1987,0.367817401885986,0.0795967131853104,0.0691740289330482,0.0283882766962051,2.51572317210957e-4,0.0103427106514573,0.406520396471024,0
tremestierietneo,1992,0.351638704538345,0.0784445628523827,0.0780434086918831,0.0342211686074734,3.77358490368351e-4,0.0094473697245121,0.376787662506104,0
tripi,1946,0.184364065527916,0,0.00511968042701483,5.96342841163278e-4,0.36612457036972,0.334106057882309,0.451027393341064,0
tripi,1948,0.312000006437302,0.00528832245618105,0.00512730702757835,6.31872157100588e-4,0.35026741027832,0.315845608711243,0.438345104455948,0
tripi,1953,0.334975361824036,0.030177429318428,0.00514637213200331,7.20695476047695e-4,0.31062451004982,0.270194500684738,0.406639397144318,0
tripi,1958,0.552162826061249,0.0550665371119976,0.00516543723642826,8.09518794994801e-4,0.27098160982132,0.224543392658234,0.374933689832687,0
tripi,1963,0.51321929693222,0.0845714285969734,0.00551136443391442,0.00114687124732882,0.201181337237358,0.194366008043289,0.351166576147079,0
tripi,1968,0.5030837059021,0.12100000679493,0.00634758360683918,0.00185701728332788,0.0861450582742691,0.187399238348007,0.339307337999344,0
tripi,1972,0.567713022232056,0.141241118311882,0.00745563162490726,0.00277215451933444,0.0170608870685101,0.177809745073318,0.327380061149597,0
tripi,1976,0.40619307756424,0.134776994585991,0.00988089852035046,0.00472835311666131,0.0168112851679325,0.156172007322311,0.308133184909821,0
tripi,1979,0.485537201166153,0.129928901791573,0.0116998488083482,0.00619550189003348,0.0166240837424994,0.139943689107895,0.293698042631149,0
tripi,1983,0.426710098981857,0.116370879113674,0.011309577152133,0.00639194203540683,0.112464733421803,0.118483528494835,0.281300485134125,0
tripi,1987,0.370774269104004,0.0957189500331879,0.00810376834124327,0.00482862396165729,0.304395645856857,0.0972009524703026,0.275752276182175,0
tripi,1992,0.336956530809402,0.0767152458429337,0.00814379565417767,0.00533341150730848,0.446981251239777,0.0723495185375214,0.266555309295654,0
troina,1946,0.260027676820755,0.256500124931335,0.00258158403448761,1.11919827759266e-4,0.054534375667572,0.35627743601799,0.531733632087708,0
troina,1948,0.389304459095001,0.25632706284523,0.00294149038381875,2.09247809834778e-4,0.0476406961679459,0.340857058763504,0.52382880449295,0
troina,1953,0.308752149343491,0.255894392728806,0.0038412562571466,4.52567765023559e-4,0.0304064974188805,0.302306085824966,0.50406676530838,0
troina,1958,0.341666668653488,0.255461722612381,0.00474102236330509,6.9588772021234e-4,0.0131722968071699,0.263755112886429,0.484304785728455,0
troina,1963,0.325859010219574,0.277770012617111,0.00535522075369954,9.94097674265504e-4,0.00228229514323175,0.226617559790611,0.465362101793289,0
troina,1968,0.283423364162445,0.334189713001251,0.00554106896743178,0.00137464271392673,9.08589921891689e-4,0.191600173711777,0.447648376226425,0
troina,1972,0.275343775749207,0.363736569881439,0.00600118143483996,0.00176840566564351,7.59301401558332e-5,0.166876763105392,0.434315234422684,0
troina,1976,0.29236027598381,0.346516668796539,0.00739559764042497,0.00243014935404062,4.21834120061249e-5,0.152024865150452,0.423495590686798,0
troina,1979,0.346706688404083,0.333601713180542,0.00844141002744436,0.0029264569748193,1.68733640748542e-5,0.140885949134827,0.415380865335464,0
troina,1983,0.258152604103088,0.310634225606918,0.0105013614520431,0.00400889990851283,0.0025754370726645,0.125218898057938,0.398243993520737,0
troina,1987,0.313609480857849,0.281919121742249,0.0132268480956554,0.00551204150542617,0.00772631168365479,0.108736678957939,0.374789893627167,0
troina,1992,0.422664850950241,0.243905559182167,0.0186807289719582,0.00870905350893736,0.0116292247548699,0.0900362730026245,0.344042360782623,0
tusa,1946,0.319558352231979,0.0160731971263885,0.00230289390310645,5.2885472541675e-5,0.0360826775431633,0.22080785036087,0.481312781572342,0
tusa,1948,0.354318737983704,0.0240468345582485,0.00277454010210931,2.97027261694893e-4,0.0315982066094875,0.209553182125092,0.469586879014969,0
tusa,1953,0.263840556144714,0.0439809300005436,0.00395365571603179,9.07381705474108e-4,0.0203870236873627,0.181416526436806,0.440272122621536,0
tusa,1958,0.426094889640808,0.063915029168129,0.00513277156278491,0.00151773612014949,0.00917584262788296,0.15327987074852,0.410957366228104,0
tusa,1963,0.331218689680099,0.078004464507103,0.00587006332352757,0.00177335250191391,0.00200367229990661,0.136580601334572,0.385768443346024,0
tusa,1968,0.325166255235672,0.0833269059658051,0.00594461895525455,0.00149686168879271,8.90019524376839e-4,0.137037381529808,0.366768300533295,0
tusa,1972,0.346261352300644,0.0885005220770836,0.00595296733081341,0.0014121753629297,1.9964508828707e-4,0.130277320742607,0.35090559720993,0
tusa,1976,0.433391928672791,0.0964211076498032,0.00580742722377181,0.00173700787127018,1.10913933895063e-4,0.102140858769417,0.333055138587952,0
tusa,1979,0.40344312787056,0.102361544966698,0.00569827202707529,0.00198063207790256,4.43655735580251e-5,0.0810385048389435,0.319667249917984,0
tusa,1983,0.40993070602417,0.105057470500469,0.00742051191627979,0.00281636719591916,5.50964214198757e-5,0.0612897127866745,0.300714820623398,0
tusa,1987,0.499809682369232,0.102528735995293,0.0110105313360691,0.00416300445795059,1.65289267897606e-4,0.0499286018311977,0.280660450458527,0
tusa,1992,0.479596138000488,0.100196443498135,0.0175776612013578,0.00737082771956921,2.47933901846409e-4,0.0370931141078472,0.25756511092186,0
ucria,1946,0.352688163518906,0.086111970245838207,0.00501441210508347,0,0.0884466543793678,0.30528849363327,0.481347262859344,0
ucria,1948,0.557221412658691,0.0872721895575523,0.00500917388126254,0,0.0780219286680222,0.288463979959488,0.473593831062317,0
ucria,1953,0.315896391868591,0.0901727378368378,0.00499607808887959,3.10945266392082e-4,0.0519601069390774,0.246402621269226,0.454210251569748,0
ucria,1958,0.453889757394791,0.0930732861161232,0.00498298183083534,0.00108830851968378,0.0258982870727777,0.204341277480125,0.434826672077179,0
ucria,1963,0.330023378133774,0.10359014570713,0.0055328942835331,0.00186489918269217,0.00820895470678806,0.171777367591858,0.419535487890244,0
ucria,1968,0.374154269695282,0.12553146481514,0.00692731980234385,0.00264033093117177,0.00307835824787617,0.15345960855484,0.410382866859436,0
ucria,1972,0.357142865657806,0.13881528377533,0.00811843387782574,0.00333353411406279,0,0.137699708342552,0.399404883384705,0
ucria,1976,0.389547049999237,0.139291405677795,0.00953626818954945,0.00424531009048223,0,0.118622735142708,0.377459108829498,0
ucria,1979,0.38817286491394,0.139648512005806,0.0105996448546648,0.00492914160713553,0,0.104315005242825,0.360999822616577,0
ucria,1983,0.444535076618195,0.119830049574375,0.0120845166966319,0.00552309071645141,0.00400972086936235,0.088700920343399,0.339438319206238,0
ucria,1987,0.457881569862366,0.0797170028090477,0.0136364260688424,0.00579921249300241,0.0120291616767645,0.076549731194973,0.318261057138443,0
ucria,1992,0.414788097143173,0.0445832721889019,0.0177570935338736,0.0077305743470788,0.0180437434464693,0.0615353286266327,0.291317045688629,0
ustica,1946,0.477794796228409,0.0599084049463272,0.00563334999606013,0,0.00360288214869797,0.146851226687431,0.480679631233215,0
ustica,1948,0.752532541751862,0.0717097520828247,0.00562180345878005,0,0.00312249781563878,0.135828912258148,0.47543740272522,0
ustica,1953,0.720257222652435,0.101213112473488,0.00559293711557984,1.5847860777285e-4,0.00192153709940612,0.108273111283779,0.462331831455231,0
ustica,1958,0.748538017272949,0.130716472864151,0.00556407077237964,5.54675119929016e-4,7.20576441381127e-4,0.0807173177599907,0.449226260185242,0
ustica,1963,0.605345904827118,0.143734782934189,0.00701566971838474,0.00173888681456447,0,0.0635017678141594,0.432095855474472,0
ustica,1968,0.6307692527771,0.132025539875031,0.0106879668310285,0.00410512136295438,0,0.0617965869605541,0.408928215503693,0
ustica,1972,0.494809687137604,0.134791016578674,0.0122109055519104,0.00514628877863288,0,0.0594787411391735,0.394742250442505,0
ustica,1976,0.569750368595123,0.173955112695694,0.0094891507178545,0.00363199622370303,0,0.054299782961607,0.393600761890411,0
ustica,1979,0.488505750894547,0.203328162431717,0.00744783412665129,0.00249627674929798,0,0.0504155643284321,0.392744660377502,0
ustica,1983,0.490765184164047,0.210369512438774,0.00789986830204725,0.00223305518738925,1.68350161402486e-4,0.045499924570322,0.384446203708649,0
ustica,1987,0.501510560512543,0.185288116335869,0.0115256924182177,0.00322090485133231,5.05050469655544e-4,0.0408476069569588,0.368990778923035,0
ustica,1992,0.414473682641983,0.151104286313057,0.0182056520134211,0.00566053809598088,7.57575733587146e-4,0.0355720110237598,0.344249248504639,0
valdina,1946,0.138755977153778,0.00303017301484942,0.00360257504507899,0,0.107463277876377,0.241139084100723,0.43184620141983,0
valdina,1948,0.365233182907104,0.00676510063931346,0.00362273212522268,0,0.10064235329628,0.227605819702148,0.425317764282227,0
valdina,1953,0.321009397506714,0.0161024183034897,0.00367312505841255,4.50450461357832e-4,0.0835900232195854,0.193772673606873,0.408996671438217,0
valdina,1958,0.670792102813721,0.0254397373646498,0.00372351799160242,0.00157657661475241,0.0665377005934715,0.159939527511597,0.392675548791885,0
valdina,1963,0.518518507480621,0.0324166417121887,0.00436046905815601,0.00210346095263958,0.0468549989163876,0.129962086677551,0.384737700223923,0
valdina,1968,0.46428570151329,0.035852923989296,0.00587725732475519,0.00173148268368095,0.0232267342507839,0.105768218636513,0.389374673366547,0
valdina,1972,0.497429311275482,0.0382898896932602,0.00686502689495683,0.00150875200051814,0.00822043977677822,0.0870434939861298,0.390460103750229,0
valdina,1976,0.294930875301361,0.0397906824946404,0.0071758134290576,0.00151057750917971,0.00490310182794929,0.0702099055051804,0.3836729824543,0
valdina,1979,0.251409232616425,0.04091627150774,0.0074089034460485,0.0015119465533644,0.00241509848274291,0.0575847178697586,0.378582656383514,0
valdina,1983,0.21564482152462,0.059259258210659,0.00698022963479161,0.00167468364816159,7.59942457079887e-4,0.0487770661711693,0.365166753530502,0
valdina,1987,0.204472839832306,0.0944444462656975,0.00581209640949965,0.00199833256192505,7.66968121752143e-4,0.0479953438043594,0.345122069120407,0
valdina,1992,0.288964718580246,0.123885914683342,0.00914234574884176,0.00498473783954978,6.96594419423491e-4,0.0444773696362972,0.319782227277756,0
valguarneracaropepe,1946,0.462813913822174,0.045213557779789,0.00291651231236756,3.8289962685667e-4,0.0811199843883514,0.268157780170441,0.5465989112854,0
valguarneracaropepe,1948,0.501890480518341,0.0701682046055794,0.00321219582110643,5.63244102522731e-4,0.0707089304924011,0.252351820468903,0.538144111633301,0
valguarneracaropepe,1953,0.301064848899841,0.132554814219475,0.00395140424370766,0.00101410539355129,0.0446813032031059,0.212836936116219,0.517006933689117,0
valguarneracaropepe,1958,0.454557836055756,0.19494141638279,0.00469061313197017,0.00146496668457985,0.0186536740511656,0.173322051763535,0.495869785547256,0
valguarneracaropepe,1963,0.345302939414978,0.243967577815056,0.00525354500859976,0.00176449492573738,0.00253713619895279,0.140913754701614,0.478069663047791,0
valguarneracaropepe,1968,0.287255823612213,0.272953063249588,0.00555206229910254,0.00183702365029603,0.00128723692614585,0.119165301322937,0.465275049209595,0
valguarneracaropepe,1972,0.361983805894852,0.286701381206512,0.00608470384031534,0.00213142554275692,4.83567651826888e-4,0.102644681930542,0.454103350639343,0
valguarneracaropepe,1976,0.302783817052841,0.272129416465759,0.00749882869422436,0.00313496426679194,2.68648698693141e-4,0.0887584686279297,0.440123736858368,0
valguarneracaropepe,1979,0.384690672159195,0.261200487613678,0.00855942256748676,0.00388761819340289,1.07459476566873e-4,0.0783438086509705,0.429639041423798,0
valguarneracaropepe,1983,0.328721016645432,0.240964859724045,0.0103572504594922,0.00462371157482266,6.97851937729865e-4,0.0674574971199036,0.412767738103867,0
valguarneracaropepe,1987,0.371962606906891,0.215065583586693,0.0125387823209167,0.0050923596136272,0.00209355587139726,0.0595710761845112,0.39300474524498,0
valguarneracaropepe,1992,0.399506539106369,0.179313763976097,0.0169018842279911,0.0068317074328661,0.00314033357426524,0.0494645088911057,0.366822898387909,0
valledolmo,1946,0.185907512903214,0.0109090339392424,0.00310689443722367,0,0.020570358261466,0.218757271766663,0.524894118309021,1
valledolmo,1948,0.503761291503906,0.023001117631793,0.00320176361128688,0,0.0183367654681206,0.214781746268272,0.513400673866272,1
valledolmo,1953,0.356611043214798,0.0532313250005245,0.00343893654644489,2.40506196860224e-4,0.0127527834847569,0.204842895269394,0.484667062759399,1
